250365
5/1/1957	6.3
6/1/1957	3.87
7/1/1957	2.88
8/1/1957	1.7
9/1/1957	1.48
10/1/1957	3.3
11/1/1957	0.19
12/1/1957	0.19
1/1/1958	0.09
2/1/1958	0.19
3/1/1958	0.8
4/1/1958	2.08
5/1/1958	3
6/1/1958	4.46
7/1/1958	7.14
8/1/1958	1.71
9/1/1958	0.76
10/1/1958	0.39
11/1/1958	0.18
12/1/1958	0.34
1/1/1959	0.41
2/1/1959	0.32
3/1/1959	0.66
4/1/1959	0.24
5/1/1959	3.61
6/1/1959	4.61
7/1/1959	1.92
8/1/1959	2.37
9/1/1959	1.91
10/1/1959	1.41
11/1/1959	0.02
12/1/1959	0.01
1/1/1960	0.31
2/1/1960	1.51
3/1/1960	0.42
4/1/1960	2.97
5/1/1960	3.49
6/1/1960	1.7
7/1/1960	1.84
8/1/1960	2.31
9/1/1960	1.1
10/1/1960	1.31
11/1/1960	0.23
12/1/1960	0.31
1/1/1961	0
2/1/1961	0.46
3/1/1961	1.12
4/1/1961	1.83
5/1/1961	5.49
6/1/1961	1.06
7/1/1961	4.31
8/1/1961	1.23
9/1/1961	2.95
10/1/1961	0.7
11/1/1961	0.22
12/1/1961	0.09
1/1/1962	0.05
2/1/1962	0.15
3/1/1962	0.63
4/1/1962	0.72
5/1/1962	5.94
6/1/1962	6.97
7/1/1962	4.13
8/1/1962	0.42
9/1/1962	1.93
10/1/1962	1.23
11/1/1962	0.09
12/1/1962	0.37
1/1/1963	0.68
2/1/1963	0.23
3/1/1963	0.67
4/1/1963	0.76
5/1/1963	0.7
6/1/1963	4.14
7/1/1963	2.23
8/1/1963	4.21
9/1/1963	5.03
10/1/1963	1.14
11/1/1963	0.3
12/1/1963	0.36
1/1/1964	0
2/1/1964	0.29
3/1/1964	0.45
4/1/1964	2.94
5/1/1964	3.16
6/1/1964	4.06
7/1/1964	2.49
8/1/1964	0.76
9/1/1964	2.3
10/1/1964	0.03
11/1/1964	0.17
12/1/1964	0.18
1/1/1965	0.58
2/1/1965	0.26
3/1/1965	0.21
4/1/1965	1.18
5/1/1965	3.11
6/1/1965	5.49
7/1/1965	6.77
8/1/1965	1.82
9/1/1965	3.4
10/1/1965	1.16
11/1/1965	0.1
12/1/1965	0.64
1/1/1966	0.37
2/1/1966	0.12
3/1/1966	1.34
4/1/1966	0.69
5/1/1966	0.8
6/1/1966	4.9
7/1/1966	4.25
8/1/1966	1.99
9/1/1966	2.71
10/1/1966	0.12
11/1/1966	0.1
12/1/1966	0.23
1/1/1967	0.13
2/1/1967	0.01
3/1/1967	0.21
4/1/1967	1.16
5/1/1967	3.88
6/1/1967	6.64
7/1/1967	4.11
8/1/1967	1.3
9/1/1967	0.52
10/1/1967	0.36
11/1/1967	0.33
12/1/1967	0.64
1/1/1968	0
2/1/1968	0.35
3/1/1968	0.28
4/1/1968	1.13
5/1/1968	2.86
6/1/1968	1.67
7/1/1968	2.47
8/1/1968	6.54
9/1/1968	0.27
10/1/1968	0.54
11/1/1968	1.39
12/1/1968	0.48
1/1/1969	0.56
2/1/1969	0.3
3/1/1969	0.21
4/1/1969	1.14
5/1/1969	4.12
6/1/1969	2.98
7/1/1969	6.81
8/1/1969	1.32
9/1/1969	0.88
10/1/1969	2.15
11/1/1969	0.17
12/1/1969	0.07
1/1/1970	0.52
2/1/1970	0
3/1/1970	0.6
4/1/1970	2.02
5/1/1970	0.97
6/1/1970	3.82
7/1/1970	3.25
8/1/1970	0.51
9/1/1970	0.83
10/1/1970	0.58
11/1/1970	0.36
12/1/1970	0.29
1/1/1971	0.09
2/1/1971	0.31
3/1/1971	1
4/1/1971	3.21
5/1/1971	4.51
6/1/1971	1.97
7/1/1971	3.13
8/1/1971	2.56
9/1/1971	2.91
10/1/1971	1.65
11/1/1971	0.45
12/1/1971	0.3
1/1/1972	0.31
2/1/1972	0.01
3/1/1972	0.25
4/1/1972	1.91
5/1/1972	2.7
6/1/1972	3.57
7/1/1972	4.14
8/1/1972	0.51
9/1/1972	1.81
10/1/1972	0.63
11/1/1972	2.4
12/1/1972	0.45
1/1/1973	0.67
2/1/1973	0.05
3/1/1973	1.6
4/1/1973	1.49
5/1/1973	4.03
6/1/1973	2.44
7/1/1973	2.7
8/1/1973	1.55
9/1/1973	6.24
10/1/1973	1.59
11/1/1973	0.65
12/1/1973	1.59
1/1/1974	0.31
2/1/1974	0.26
3/1/1974	0.59
4/1/1974	1.62
5/1/1974	1.24
6/1/1974	3.75
7/1/1974	0.91
8/1/1974	2.15
9/1/1974	0.6
10/1/1974	0.4
11/1/1974	0
12/1/1974	0.12
1/1/1975	0.14
2/1/1975	0.2
3/1/1975	1.89
4/1/1975	1
5/1/1975	4.98
6/1/1975	2.78
7/1/1975	1.3
8/1/1975	2.6
9/1/1975	0.34
10/1/1975	0.27
11/1/1975	1.15
12/1/1975	0.18
1/1/1976	1.33
2/1/1976	0.2
3/1/1976	0.33
4/1/1976	3.29
5/1/1976	2.59
6/1/1976	1.01
7/1/1976	1.95
8/1/1976	1.41
9/1/1976	0.96
10/1/1976	1.23
11/1/1976	0.07
12/1/1976	0.3
1/1/1977	0.16
2/1/1977	0.21
3/1/1977	2.4
4/1/1977	3.82
5/1/1977	4.09
6/1/1977	4.34
7/1/1977	1.87
8/1/1977	3.31
9/1/1977	0.21
10/1/1977	0.4
11/1/1977	0.48
12/1/1977	0.18
1/1/1978	0.54
2/1/1978	1.13
3/1/1978	0.05
4/1/1978	1.86
5/1/1978	2.69
6/1/1978	1.41
7/1/1978	3.3
8/1/1978	2.93
9/1/1978	0.09
10/1/1978	0.36
11/1/1978	0.72
12/1/1978	1.15
1/1/1979	0.73
2/1/1979	0
3/1/1979	1.42
4/1/1979	2.22
5/1/1979	2.67
6/1/1979	3.32
7/1/1979	5.57
8/1/1979	1.81
9/1/1979	1.14
10/1/1979	0.97
11/1/1979	1.48
12/1/1979	0.05
1/1/1980	0.23
2/1/1980	0.85
3/1/1980	3.52
4/1/1980	1.86
5/1/1980	1.91
6/1/1980	3.32
7/1/1980	0.75
8/1/1980	3
9/1/1980	0.61
10/1/1980	0.23
11/1/1980	0.13
12/1/1980	0.04
1/1/1981	0.45
2/1/1981	0.2
3/1/1981	1.02
4/1/1981	1.65
5/1/1981	6.65
6/1/1981	1.95
7/1/1981	6.67
8/1/1981	1.59
9/1/1981	0.72
10/1/1981	1.79
11/1/1981	0.2
12/1/1981	0.5
1/1/1982	0.24
2/1/1982	0.13
3/1/1982	1.01
4/1/1982	1.47
5/1/1982	3.96
6/1/1982	2.01
7/1/1982	2.48
8/1/1982	1.29
9/1/1982	1.66
10/1/1982	0.91
11/1/1982	0.8
12/1/1982	0.36
1/1/1983	0.12
2/1/1983	0.07
3/1/1983	1.36
4/1/1983	0.88
5/1/1983	4.85
6/1/1983	5.21
7/1/1983	3.68
8/1/1983	1.65
9/1/1983	0.51
10/1/1983	0.71
11/1/1983	0.95
12/1/1983	0.55
1/1/1984	0.16
2/1/1984	0.28
3/1/1984	0.26
4/1/1984	2.81
5/1/1984	2.56
6/1/1984	1.55
7/1/1984	2.24
8/1/1984	1.54
9/1/1984	0.43
10/1/1984	1.23
11/1/1984	0.65
12/1/1984	0.75
1/1/1985	0.18
2/1/1985	0.07
3/1/1985	0.23
4/1/1985	1.41
5/1/1985	4.65
6/1/1985	0.98
7/1/1985	2.55
8/1/1985	2.67
9/1/1985	3.09
10/1/1985	0.56
11/1/1985	0.52
12/1/1985	0.79
1/1/1986	0
2/1/1986	1.1
3/1/1986	0.78
4/1/1986	3.45
5/1/1986	2.28
6/1/1986	2.63
7/1/1986	2
8/1/1986	1.56
9/1/1986	3.54
10/1/1986	1.29
11/1/1986	0.17
12/1/1986	0.14
1/1/1987	0
2/1/1987	1.79
3/1/1987	1.55
4/1/1987	0.7
5/1/1987	4.5
6/1/1987	3.14
7/1/1987	3.16
8/1/1987	2.95
9/1/1987	1.22
10/1/1987	0.68
11/1/1987	1.76
12/1/1987	1.28
1/1/1988	0.89
2/1/1988	0.11
3/1/1988	0.25
4/1/1988	2.37
5/1/1988	6.59
6/1/1988	1.43
7/1/1988	4.59
8/1/1988	1.85
9/1/1988	1.42
10/1/1988	0.32
11/1/1988	0.21
12/1/1988	0
1/1/1989	0.06
2/1/1989	0.56
3/1/1989	0.58
4/1/1989	0.1
5/1/1989	0.83
6/1/1989	1.08
7/1/1989	0.7
8/1/1989	2.21
9/1/1989	3.27
10/1/1989	0
11/1/1989	0
12/1/1989	0.25
1/1/1990	0.36
2/1/1990	0.06
3/1/1990	3.27
4/1/1990	1.54
5/1/1990	5.45
6/1/1990	2.07
7/1/1990	2.59
8/1/1990	1.86
9/1/1990	1.4
10/1/1990	0.63
11/1/1990	1.4
12/1/1990	0.12
1/1/1991	0.09
2/1/1991	0.38
3/1/1991	1
4/1/1991	0.59
5/1/1991	3.84
6/1/1991	2.69
7/1/1991	3.5
8/1/1991	1.58
9/1/1991	1.08
10/1/1991	1.16
11/1/1991	1.26
12/1/1991	0.12
1/1/1992	0.8
2/1/1992	0.7
3/1/1992	3.34
4/1/1992	0
5/1/1992	0.98
6/1/1992	4.28
7/1/1992	4.67
8/1/1992	2.43
9/1/1992	1.29
10/1/1992	1.02
11/1/1992	0.26
12/1/1992	0.12
1/1/1993	0.66
2/1/1993	1.32
3/1/1993	2.07
4/1/1993	2.18
5/1/1993	2.52
6/1/1993	4.35
7/1/1993	7.52
8/1/1993	2.8
9/1/1993	1.31
10/1/1993	1.88
11/1/1993	1.11
12/1/1993	0.25
1/1/1994	0.84
2/1/1994	0.36
3/1/1994	0.29
4/1/1994	1.11
5/1/1994	1.13
6/1/1994	2.62
7/1/1994	6.54
8/1/1994	0.42
9/1/1994	0.96
10/1/1994	4.17
