250365
start_date end_date duration peak sum average median
07/01/1936 12/01/1936 5 -2.87 -9.56 -1.91 -2.18
11/01/1938 01/01/1939 2 -1.79 -2.15 -1.07 -1.07
08/01/1939 11/01/1939 3 -2.59 -5.23 -1.74 -2.08
06/01/1940 11/01/1940 5 -1.73 -5.31 -1.06 -1.17
08/01/1942 10/01/1942 2 -1.82 -2.07 -1.04 -1.04
09/01/1943 01/01/1944 4 -2.23 -4.52 -1.13 -0.98
03/01/1947 06/01/1947 3 -2.48 -3.94 -1.31 -0.74
08/01/1947 10/01/1947 2 -2.21 -2.67 -1.33 -1.33
05/01/1948 01/01/1949 8 -1.55 -3.57 -0.45 -0.27
04/01/1950 07/01/1950 3 -2.01 -5.62 -1.87 -1.89
01/01/1951 06/01/1951 5 -2.21 -7.3 -1.46 -1.49
07/01/1952 04/01/1953 9 -2.11 -8.65 -0.96 -0.84
02/01/1954 06/01/1954 4 -2.21 -4.04 -1.01 -0.76
04/01/1955 05/01/1955 1 -2.7 -2.7 -2.7 -2.7
03/01/1956 07/01/1956 4 -1.52 -4.06 -1.01 -1.02
10/01/1956 12/01/1956 2 -1.64 -1.69 -0.85 -0.85
04/01/1959 06/01/1959 2 -1.58 -1.98 -0.99 -0.99
12/01/1959 02/01/1960 2 -2.72 -3.38 -1.69 -1.69
05/01/1963 07/01/1963 2 -2.12 -2.71 -1.36 -1.36
11/01/1964 01/01/1965 2 -1.93 -2.75 -1.37 -1.37
05/01/1966 07/01/1966 2 -2.08 -2.25 -1.12 -1.12
11/01/1966 05/01/1967 6 -1.89 -7.26 -1.21 -1.16
09/01/1970 03/01/1971 6 -1.79 -4.18 -0.7 -0.52
12/01/1974 03/01/1975 3 -1.77 -3.22 -1.07 -0.87
10/01/1975 11/01/1975 1 -1.8 -1.8 -1.8 -1.8
10/01/1977 01/01/1978 3 -1.8 -2.53 -0.84 -0.63
10/01/1978 12/01/1978 2 -2.1 -2.48 -1.24 -1.24
11/01/1980 02/01/1981 3 -1.55 -3.23 -1.08 -1.48
01/01/1989 02/01/1989 1 -2.08 -2.08 -2.08 -2.08
04/01/1989 09/01/1989 5 -2.77 -11.03 -2.21 -2.38
11/01/1989 01/01/1990 2 -2.21 -3.35 -1.68 -1.68
05/01/1992 07/01/1992 2 -2.7 -3.08 -1.54 -1.54
09/01/1994 10/01/1994 1 -1.75 -1.75 -1.75 -1.75
12/01/1995 05/01/1996 5 -2.08 -8.7 -1.74 -1.83
07/01/1996 09/01/1996 2 -1.59 -1.66 -0.83 -0.83
01/01/1997 09/01/1997 8 -1.71 -8.46 -1.06 -0.94
01/01/1999 04/01/1999 3 -1.79 -2.75 -0.92 -0.67
11/01/1999 02/01/2000 3 -1.81 -3.55 -1.18 -1.14
07/01/2000 10/01/2000 3 -2.18 -4.57 -1.52 -1.55
06/01/2002 08/01/2002 2 -2.94 -4.42 -2.21 -2.21
09/01/2003 02/01/2004 5 -1.75 -4.98 -1 -0.87
02/01/2008 04/01/2008 2 -2.18 -3.71 -1.85 -1.85
