250365
spi frequency percentage rankingpercentile
-99 1 0.11 1.82
-2.9 2 0.23 3.64
-2.8 1 0.11 5.45
-2.7 4 0.45 7.27
-2.6 1 0.11 9.09
-2.5 1 0.11 10.91
-2.4 2 0.23 12.73
-2.2 8 0.9 14.55
-2.1 8 0.9 16.36
-2 1 0.11 18.18
-1.9 5 0.56 20
-1.8 10 1.13 21.82
-1.7 5 0.56 23.64
-1.6 8 0.9 25.45
-1.5 14 1.58 27.27
-1.4 10 1.13 29.09
-1.3 12 1.35 30.91
-1.2 14 1.58 32.73
-1.1 13 1.46 34.55
-1 19 2.14 36.36
-0.9 30 3.38 38.18
-0.8 26 2.93 40
-0.7 28 3.15 41.82
-0.6 29 3.27 43.64
-0.5 27 3.04 45.45
-0.4 33 3.72 47.27
-0.3 36 4.05 49.09
-0.2 39 4.39 50.91
-0.1 35 3.94 52.73
0 41 4.62 54.55
0.1 33 3.72 56.36
0.2 28 3.15 58.18
0.3 40 4.5 60
0.4 40 4.5 61.82
0.5 27 3.04 63.64
0.6 29 3.27 65.45
0.7 27 3.04 67.27
0.8 21 2.36 69.09
0.9 22 2.48 70.91
1 27 3.04 72.73
1.1 22 2.48 74.55
1.2 11 1.24 76.36
1.3 16 1.8 78.18
1.4 14 1.58 80
1.5 12 1.35 81.82
1.6 14 1.58 83.64
1.7 9 1.01 85.45
1.8 10 1.13 87.27
1.9 5 0.56 89.09
2 3 0.34 90.91
2.1 3 0.34 92.73
2.2 4 0.45 94.55
2.3 2 0.23 96.36
2.4 4 0.45 98.18
2.5 2 0.23 100
